num,reg,pos,loc,res,1,3,4,5,6,7,10,12,13,15,16,17,18,23,80,96,97,98,101,102,103,104,108,109,110,112,113,114,115,118,119,120,129,131,133,138,139,140,142,144,145,146
43,2,30, 1050139,benign, 496, 22, 8809, 0, 5571, 2241, 41, 350, 539, 0, 163, 33511, 405, 404, 38, 6441, 440, 7, 2, 11625, 9429, 18755, 375, 410, 142, 5529, 5761, 7753, 42, 35, 29, 8, 5, 1, 0, 25235, 28517, 30783, 2, 143, 195, 239
44,0,0, 1056441,benign, 696, 23, 8827, 0, 5567, 2236, 41, 350, 539, 0, 167, 33629, 405, 379, 36, 6947, 332, 7, 2, 12100, 10074, 18792, 123, 158, 142, 5550, 5706, 7754, 42, 35, 29, 8, 3, 1, 0, 25766, 28987, 31213, 2, 143, 195, 239
45,6,28, 1058378,benign, 754, 23, 8825, 0, 5570, 2239, 41, 350, 539, 0, 167, 33807, 405, 387, 36, 7165, 266, 2, 2, 12222, 10122, 18808, 130, 165, 142, 5555, 5717, 7753, 42, 35, 29, 8, 3, 7, 0, 25968, 29250, 31497, 2, 195, 247, 291
46,9,12, 1053383,benign, 590, 22, 8816, 0, 5569, 2238, 41, 351, 539, 0, 171, 33768, 405, 422, 37, 7099, 332, 8, 2, 12074, 9841, 18767, 162, 198, 142, 6050, 5223, 7749, 42, 35, 30, 8, 4, 2, 3, 25931, 29122, 31342, 2, 152, 204, 248
47,3,5, 1055774,SDC, 663, 23, 8805, 0, 5569, 2240, 41, 350, 534, 0, 168, 33823, 400, 423, 37, 6726, 265, 2, 3, 11789, 9628, 18737, 137, 170, 144, 5785, 5473, 7758, 42, 35, 29, 8, 4, 7, 0, 25837, 29042, 31292, 2, 152, 204, 248
48,0,9, 1059706,benign, 483, 20, 8790, 0, 5566, 2239, 41, 350, 539, 0, 158, 33309, 405, 400, 36, 6508, 265, 13, 2, 11321, 9131, 18753, 123, 158, 142, 5781, 5484, 7747, 42, 35, 29, 8, 3, 0, 0, 25303, 28477, 30696, 2, 154, 206, 250
49,7,29, 1053546,benign, 606, 23, 8813, 0, 5571, 2236, 41, 350, 539, 0, 167, 33786, 405, 392, 37, 6529, 252, 7, 2, 12061, 9943, 18763, 142, 175, 144, 5544, 5722, 7762, 42, 35, 29, 7, 3, 1, 0, 25670, 28883, 31118, 2, 150, 202, 246
50,6,29, 1052494,benign, 569, 23, 8812, 0, 5568, 2242, 41, 350, 539, 0, 160, 33846, 405, 416, 35, 6430, 316, 2, 2, 11884, 9655, 18738, 168, 204, 142, 6059, 5211, 7775, 42, 35, 29, 8, 4, 1, 0, 25383, 28604, 30859, 2, 150, 202, 246
51,2,8, 1059202,SDC, 787, 23, 8833, 0, 5566, 2242, 41, 350, 534, 0, 159, 34285, 400, 416, 38, 7143, 273, 1, 2, 12520, 10209, 18779, 183, 219, 142, 5606, 5646, 7754, 42, 35, 29, 8, 4, 1, 0, 26129, 29329, 31601, 2, 187, 241, 285
52,6,25, 1055160,benign, 628, 24, 8814, 4, 5569, 2244, 41, 350, 539, 0, 173, 33023, 405, 377, 34, 6952, 316, 8, 2, 11105, 8951, 18771, 137, 172, 142, 6039, 5221, 7753, 42, 36, 28, 8, 4, 7, 0, 25544, 28951, 31177, 2, 155, 207, 251
53,6,8, 1058391,benign, 751, 23, 8829, 0, 5573, 2239, 41, 350, 539, 0, 157, 34038, 405, 412, 36, 6982, 276, 1, 4, 11916, 9827, 18753, 139, 174, 142, 5555, 5714, 7756, 42, 35, 29, 8, 2, 1, 0, 25793, 29112, 31332, 2, 167, 219, 263
54,10,7, 1059764,benign, 454, 22, 8798, 4, 5567, 2241, 42, 350, 539, 0, 157, 33039, 405, 384, 34, 6120, 322, 5, 2, 11309, 9127, 18722, 145, 180, 142, 5275, 5993, 7751, 42, 35, 29, 8, 3, 41, 0, 25169, 28358, 30614, 2, 143, 195, 239
55,0,22, 1056266,SDC, 686, 22, 8813, 0, 5563, 2236, 41, 350, 534, 0, 166, 33705, 400, 412, 35, 7054, 412, 2, 3, 12000, 9916, 18783, 125, 160, 142, 6047, 5211, 7756, 42, 35, 29, 8, 3, 7, 0, 25527, 28750, 30969, 2, 176, 229, 273
56,1,0, 1055848,benign, 652, 22, 8826, 4, 5568, 2234, 41, 350, 539, 0, 172, 33295, 405, 400, 34, 7007, 332, 8, 2, 11518, 9418, 18738, 130, 165, 142, 5786, 5489, 7751, 42, 35, 31, 9, 3, 1, 1, 25643, 28852, 31120, 2, 142, 194, 238
57,10,12, 1053945,benign, 605, 22, 8811, 0, 5567, 2244, 41, 350, 539, 0, 166, 33633, 405, 395, 35, 6416, 262, 1, 3, 11514, 9314, 18743, 166, 204, 142, 5541, 5728, 7758, 42, 35, 29, 8, 4, 1, 0, 25943, 29249, 31480, 2, 142, 194, 238
58,8,14, 1054271,benign, 619, 22, 8817, 0, 5569, 2239, 41, 351, 539, 0, 177, 33861, 405, 387, 35, 6565, 401, 1, 5, 11712, 9673, 18764, 137, 172, 142, 5791, 5473, 7750, 42, 35, 29, 8, 3, 7, 0, 25896, 29179, 31416, 2, 168, 220, 264
59,2,23, 1058828,benign, 742, 22, 8843, 4, 5569, 2235, 41, 350, 539, 0, 161, 33730, 405, 418, 36, 7002, 348, 1, 2, 12015, 9966, 18755, 146, 179, 144, 5795, 5479, 7776, 42, 35, 29, 8, 5, 7, 0, 26090, 29304, 31542, 2, 188, 241, 285
60,0,23, 1056012,benign, 653, 22, 8805, 4, 5572, 2235, 41, 351, 539, 0, 169, 33558, 405, 382, 35, 6997, 274, 8, 4, 11614, 9557, 18753, 137, 170, 144, 6043, 5216, 7761, 42, 36, 28, 8, 3, 0, 1, 25650, 29147, 31413, 2, 158, 210, 254
61,6,2, 1059527,benign, 476, 22, 8809, 0, 5570, 2240, 41, 351, 539, 0, 165, 33463, 405, 378, 35, 6429, 318, 14, 3, 11450, 9180, 18772, 122, 157, 142, 5337, 5923, 7745, 36, 35, 29, 9, 3, 14, 1, 25286, 28582, 30807, 2, 171, 223, 267
62,9,12, 1051800,benign, 522, 22, 8818, 4, 5568, 2242, 41, 350, 539, 0, 160, 32981, 405, 401, 36, 6373, 265, 1, 2, 11254, 9070, 18757, 155, 190, 142, 5818, 5450, 7753, 42, 36, 28, 9, 4, 7, 0, 25296, 28639, 30888, 2, 175, 227, 271
63,8,1, 1052105,benign, 561, 22, 8820, 0, 5569, 2241, 41, 350, 539, 0, 163, 33641, 405, 394, 36, 6737, 310, 7, 2, 11523, 9276, 18769, 367, 402, 142, 5810, 5478, 7754, 42, 35, 31, 9, 2, 1, 0, 25569, 28776, 31026, 2, 168, 220, 264
64,7,31, 1052169,benign, 564, 23, 8817, 0, 5567, 2238, 41, 350, 539, 0, 160, 33942, 405, 398, 35, 7029, 254, 7, 2, 12068, 9888, 18758, 160, 195, 142, 5558, 5718, 7751, 42, 35, 29, 8, 3, 1, 0, 25607, 28911, 31146, 2, 377, 429, 473
