num,reg,pos,loc,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
6,r1,9, 1087499,"  109808:	e5932008 	ldr	r2, [r3, #8]
",benign, 515, 290, 24687, 3, 17187, 5452, 1, 4674, 6683, 1, 852, 97047, 7010, 3, 156, 5098, 1628, 429, 3, 39506, 13971, 77624, 0, 0, 572, 24871, 22330, 23622, 162, 0, 0, 19, 88, 125, 2, 96043, 87737, 90936, 2, 0, 0, 335
7,r0,28, 1087532,"  10982c:	e5832000 	str	r2, [r3]
",benign, 461, 231, 18777, 6, 13118, 4157, 1, 3555, 5116, 1, 716, 76541, 5300, 3, 118, 4797, 1526, 431, 3, 31132, 12647, 60249, 0, 0, 432, 19265, 17409, 18054, 134, 0, 0, 19, 61, 157, 4, 76676, 68206, 71441, 2, 0, 0, 339
8,r1,12, 1087463,"  1097e4:	e3083448 	movw	r3, #33864	; 0x8448
",benign, 495, 271, 25182, 3, 17533, 5509, 2, 4794, 6834, 2, 852, 97476, 7171, 3, 161, 4980, 1683, 441, 3, 39593, 13763, 79082, 0, 0, 582, 25275, 22655, 24046, 166, 0, 0, 19, 100, 150, 4, 98395, 89510, 92698, 2, 0, 0, 338
9,r1,27, 1087872,"  109980:	e30824d4 	movw	r2, #34004	; 0x84d4
",benign, 461, 243, 22000, 6, 15329, 4846, 2, 4127, 5959, 1, 746, 86638, 6224, 3, 129, 4924, 1430, 430, 3, 34953, 13246, 70057, 0, 0, 512, 22611, 20226, 21008, 150, 0, 0, 19, 66, 155, 5, 86693, 77989, 81170, 2, 0, 0, 337
10,r1,20, 1088209,"  109ad0:	e3403012 	movt	r3, #18
",benign, 507, 230, 18030, 3, 12589, 4025, 1, 3392, 4909, 2, 679, 73719, 5083, 3, 115, 4609, 1299, 421, 3, 29933, 12535, 58128, 0, 0, 422, 18759, 16854, 17312, 129, 0, 0, 19, 59, 144, 2, 73955, 65382, 68575, 2, 0, 0, 338
11,r1,24, 1088297,"  109b28:	daffffa0 	ble	1099b0 <dijkstra+0x12c>
",benign, 517, 266, 22144, 3, 15416, 4912, 1, 4175, 6037, 2, 777, 87416, 6313, 3, 144, 4595, 1505, 524, 3, 35722, 13730, 70574, 0, 0, 522, 22705, 20393, 21132, 154, 0, 0, 19, 83, 138, 2, 87650, 79037, 82304, 2, 0, 0, 316
12,r3,14, 1087787,"  109928:	daffffe3 	ble	1098bc <dijkstra+0x38>
",benign, 428, 247, 18020, 3, 12574, 4012, 0, 3392, 4909, 1, 634, 72865, 5083, 3, 113, 4750, 1452, 432, 3, 29459, 12030, 58151, 0, 0, 422, 18702, 16862, 17286, 130, 0, 0, 19, 60, 146, 5, 73040, 64630, 67893, 2, 0, 0, 318
13,r0,25, 1087734,"  1098f4:	e302270f 	movw	r2, #9999	; 0x270f
",benign, 430, 237, 14232, 3, 9907, 3281, 1, 2712, 3933, 1, 572, 62958, 4028, 3, 124, 5038, 1289, 431, 3, 27328, 11715, 46530, 0, 0, 342, 14933, 13556, 13743, 116, 0, 0, 19, 60, 155, 5, 63127, 54571, 57945, 2, 0, 0, 316
14,r3,31, 1088028,"  109a1c:	e1530002 	cmp	r3, r2
",benign, 503, 253, 18808, 6, 13144, 4170, 1, 3562, 5125, 3, 737, 77292, 5309, 3, 119, 5327, 1305, 419, 3, 31609, 12662, 60483, 0, 0, 432, 19298, 17500, 18069, 131, 0, 0, 19, 127, 145, 3, 77270, 68715, 71912, 2, 0, 0, 317
15,r1,9, 1087690,"  1098c8:	e3083450 	movw	r3, #33872	; 0x8450
",benign, 413, 236, 14222, 3, 9901, 3279, 1, 2712, 3933, 1, 576, 63147, 4028, 3, 125, 4921, 1326, 443, 3, 27224, 11384, 46539, 0, 0, 342, 14969, 13501, 13741, 117, 0, 0, 19, 70, 147, 5, 63083, 54607, 57988, 2, 0, 0, 317
