num,reg,pos,loc,reg,pos,loc,reg,pos,loc,input_seed,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,dump
0,r0,19, 1085163,r0,10, 1085163,r1,15, 1085163, 1046,"  108ee8:	e0823003 	add	r3, r2, r3",benign, 321, 24, 4931, 2, 3252, 1176, 1, 887, 1033, 0, 269, 44443, 950, 3, 32, 3174, 421, 414, 3, 31505, 6365, 11605, 0, 0, 157, 2891, 2779, 4572, 56, 0, 0, 19, 27, 119, 3, 44974, 36230, 39684, 1, 0, 0, 328,-
3,r2,26, 1085079,r3,26, 1085079,r0,17, 1085079, 1041,"  108e94:	e49db004 	pop	{fp}		; (ldr fp, [sp], #4)",benign, 319, 24, 4794, 2, 3185, 1129, 1, 864, 1013, 0, 276, 44022, 919, 3, 32, 3286, 423, 406, 3, 31834, 6751, 11406, 0, 0, 146, 2816, 2723, 4391, 50, 0, 0, 19, 24, 120, 3, 44773, 36230, 39533, 1, 0, 0, 322,-
4,r3,13, 1085208,r3,14, 1085208,r0,25, 1085208, 1040,"  108f18:	aa00000b 	bge	108f4c <quicksort+0xb0>",benign, 304, 150, 5243, 4, 3478, 1267, 1, 924, 1067, 0, 282, 44819, 999, 3, 32, 3413, 428, 410, 3, 31564, 6091, 12225, 0, 0, 172, 3058, 2891, 4872, 53, 0, 0, 19, 24, 120, 5, 44953, 36571, 39877, 1, 0, 0, 327,-
9,r1,12, 1085188,r0,10, 1085188,r1,27, 1085188, 1059,"  108f04:	e5933000 	ldr	r3, [r3]",benign, 223, 25, 5078, 5, 3361, 1191, 1, 928, 1066, 0, 252, 44029, 992, 3, 33, 2889, 475, 411, 3, 31411, 6130, 11852, 0, 0, 166, 2926, 2854, 4633, 55, 0, 0, 19, 28, 120, 8, 44624, 35910, 39187, 1, 0, 0, 338,-
10,r1,16, 1085020,r0,14, 1085020,r2,27, 1085020, 1043,"  108e5c:	e50b0010 	str	r0, [fp, #-16]",SDC, 306, 152, 4762, 4, 3126, 1119, 1, 854, 1004, 0, 274, 43475, 909, 3, 32, 3114, 422, 415, 3, 31331, 6214, 11256, 0, 0, 144, 2817, 2776, 4366, 52, 0, 0, 19, 26, 143, 4, 44352, 37479, 40972, 2, 0, 0, 336,-
12,r1,21, 1085296,r1,11, 1085296,r0,17, 1085296, 1048,"  108f70:	e51b2010 	ldr	r2, [fp, #-16]",benign, 230, 24, 5149, 4, 3412, 1223, 1, 923, 1064, 0, 273, 44295, 992, 3, 32, 2903, 418, 423, 4, 31605, 6325, 11961, 0, 0, 168, 2993, 2856, 4714, 54, 0, 0, 19, 25, 120, 5, 45181, 36301, 39744, 1, 0, 0, 339,-
13,r0,7, 1085146,r3,9, 1085146,r2,9, 1085146, 1048,"  108ed8:	ea00001e 	b	108f58 <quicksort+0xbc>",benign, 384, 158, 5129, 2, 3388, 1218, 1, 923, 1064, 0, 276, 44810, 992, 3, 32, 3262, 431, 411, 3, 32339, 7121, 12044, 0, 0, 168, 2971, 2879, 4716, 54, 0, 0, 19, 27, 143, 2, 44900, 36646, 40038, 1, 0, 0, 316,-
14,r1,18, 1085296,r0,13, 1085296,r2,19, 1085296, 1044,"  108f70:	e51b2010 	ldr	r2, [fp, #-16]",benign, 312, 150, 4986, 4, 3286, 1188, 1, 882, 1034, 0, 281, 44557, 950, 3, 32, 3073, 424, 410, 3, 31398, 6179, 11759, 0, 0, 156, 2939, 2814, 4611, 52, 0, 0, 19, 24, 119, 5, 44845, 36169, 39465, 1, 0, 0, 324,-
0,r1,26, 1085044,r1,11, 1085044,r1,17, 1085044, 1061,"  108e74:	e5932000 	ldr	r2, [r3]",benign, 236, 24, 4939, 2, 3259, 1149, 1, 905, 1048, 0, 274, 44364, 966, 3, 32, 2929, 503, 410, 3, 31197, 6153, 11692, 0, 0, 157, 2926, 2836, 4550, 56, 0, 0, 19, 27, 121, 2, 44743, 36359, 39819, 1, 0, 0, 322,-
1,r2,7, 1085049,r0,15, 1085049,r0,21, 1085049, 1039,"  108e78:	e51b3010 	ldr	r3, [fp, #-16]",benign, 433, 169, 4831, 3, 3204, 1152, 0, 864, 1013, 0, 277, 44286, 919, 3, 32, 2982, 420, 425, 3, 31731, 6682, 11372, 0, 0, 146, 2780, 2742, 4384, 53, 0, 0, 19, 24, 142, 2, 44578, 35840, 39134, 1, 0, 0, 339,-
