num,reg,pos,loc,reg,pos,loc,reg,pos,loc,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
33,r1,19, 1074353,"  1064b0:	e24dd03c 	sub	sp, sp, #60	; 0x3c
",r3,21, 1074353,"  1064b0:	e24dd03c 	sub	sp, sp, #60	; 0x3c
",r1,13, 1074353,"  1064b0:	e24dd03c 	sub	sp, sp, #60	; 0x3c
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,r2,5, 1074666,"  1065e8:	e1a00003 	mov	r0, r3
",r3,17, 1074666,"  1065e8:	e1a00003 	mov	r0, r3
",r3,26, 1074666,"  1065e8:	e1a00003 	mov	r0, r3
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,r1,20, 1063734,"  103b34:	e6ef3073 	uxtb	r3, r3
",r0,12, 1063734,"  103b34:	e6ef3073 	uxtb	r3, r3
",r0,4, 1063734,"  103b34:	e6ef3073 	uxtb	r3, r3
",benign, 624, 227, 3832, 2, 2950, 855, 1, 340, 505, 13, 223, 45084, 294, 3, 241, 4666, 10791, 410, 13, 32015, 8327, 11581, 0, 0, 26, 3168, 3124, 3826, 37, 0, 0, 19, 23, 128, 2, 45474, 36811, 40276, 1, 0, 0, 316
36,r0,4, 1074226,"  106430:	e1a03c23 	lsr	r3, r3, #24
",r3,24, 1074226,"  106430:	e1a03c23 	lsr	r3, r3, #24
",r0,10, 1074226,"  106430:	e1a03c23 	lsr	r3, r3, #24
",benign, 971, 349, 3810, 2, 2928, 841, 1, 340, 505, 13, 222, 45518, 294, 3, 237, 4318, 11803, 418, 11, 32228, 7622, 11629, 0, 0, 26, 3164, 3160, 3836, 35, 0, 0, 17, 21, 125, 2, 46225, 37113, 40650, 1, 0, 0, 316
37,r0,0, 1081504,"  1080a0:	e0211003 	eor	r1, r1, r3
",r1,3, 1081504,"  1080a0:	e0211003 	eor	r1, r1, r3
",r1,14, 1081504,"  1080a0:	e0211003 	eor	r1, r1, r3
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,r2,13, 1083005,"  10867c:	e1a00003 	mov	r0, r3
",r3,14, 1083005,"  10867c:	e1a00003 	mov	r0, r3
",r1,23, 1083005,"  10867c:	e1a00003 	mov	r0, r3
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,r3,14, 1069446,"  105184:	e6ef3073 	uxtb	r3, r3
",r2,28, 1069446,"  105184:	e6ef3073 	uxtb	r3, r3
",r1,16, 1069446,"  105184:	e6ef3073 	uxtb	r3, r3
",SDC, 766, 224, 3874, 2, 2997, 878, 1, 324, 503, 12, 241, 45973, 293, 3, 233, 4791, 11316, 416, 13, 32152, 7652, 11773, 0, 0, 26, 3170, 3182, 3912, 34, 0, 0, 19, 23, 127, 2, 46136, 37017, 40523, 1, 0, 0, 317
40,r0,27, 1078379,"  107468:	e2800c03 	add	r0, r0, #768	; 0x300
",r2,15, 1078379,"  107468:	e2800c03 	add	r0, r0, #768	; 0x300
",r1,10, 1078379,"  107468:	e2800c03 	add	r0, r0, #768	; 0x300
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,r3,11, 1070803,"  1056d0:	e7931101 	ldr	r1, [r3, r1, lsl #2]
",r0,19, 1070803,"  1056d0:	e7931101 	ldr	r1, [r3, r1, lsl #2]
",r3,30, 1070803,"  1056d0:	e7931101 	ldr	r1, [r3, r1, lsl #2]
",SDC, 807, 234, 3887, 2, 2992, 870, 1, 324, 504, 14, 235, 46161, 293, 3, 243, 4523, 11872, 420, 12, 33123, 7947, 11827, 0, 0, 26, 3184, 3165, 3923, 35, 0, 0, 19, 23, 137, 2, 46371, 38251, 41775, 1, 0, 0, 316
42,r2,6, 1070410,"  105548:	e2800c02 	add	r0, r0, #512	; 0x200
",r1,11, 1070410,"  105548:	e2800c02 	add	r0, r0, #512	; 0x200
",r1,12, 1070410,"  105548:	e2800c02 	add	r0, r0, #512	; 0x200
",SDC, 857, 353, 3853, 2, 2952, 863, 1, 325, 503, 13, 238, 45839, 293, 3, 239, 4032, 11300, 408, 15, 31908, 7554, 11840, 0, 0, 26, 3182, 3180, 3971, 39, 0, 0, 19, 23, 127, 2, 45879, 37447, 40986, 1, 0, 0, 317
43,r3,24, 1074454,"  106514:	e5933000 	ldr	r3, [r3]
",r2,6, 1074454,"  106514:	e5933000 	ldr	r3, [r3]
",r1,3, 1074454,"  106514:	e5933000 	ldr	r3, [r3]
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,r3,30, 1082591,"  1084dc:	e30e3cc0 	movw	r3, #60608	; 0xecc0
",r2,24, 1082591,"  1084dc:	e30e3cc0 	movw	r3, #60608	; 0xecc0
",r3,2, 1082591,"  1084dc:	e30e3cc0 	movw	r3, #60608	; 0xecc0
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,r3,29, 1080521,"  107cc8:	e50b3020 	str	r3, [fp, #-32]	; 0xffffffe0
",r3,10, 1080521,"  107cc8:	e50b3020 	str	r3, [fp, #-32]	; 0xffffffe0
",r2,17, 1080521,"  107cc8:	e50b3020 	str	r3, [fp, #-32]	; 0xffffffe0
",crash/hangs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
