num,reg,pos,loc,reg,pos,loc,reg,pos,loc,input_seed,instraction,res,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,dump
50,r2,16, 1050285,r2,19, 1050285,r1,1, 1050285, 1086,"  1006ac:	e51b3010 	ldr	r3, [fp, #-16]",benign, 418, 198, 2803, 2, 1709, 1084, 0, 511, 702, 0, 236, 24641, 498, 3, 93, 3160, 1075, 411, 3, 15039, 7639, 8049, 0, 0, 33, 1789, 1973, 2846, 92, 0, 0, 19, 24, 119, 2, 25528, 17259, 20524, 1, 0, 0, 318,-
51,r0,10, 1049884,r1,6, 1049884,r3,10, 1049884, 1083,"  10051c:	e5832000 	str	r2, [r3]",benign, 347, 211, 2782, 4, 1690, 1077, 1, 511, 705, 0, 237, 24343, 501, 3, 92, 3072, 1082, 407, 3, 14560, 7134, 7912, 0, 0, 33, 1800, 1970, 2803, 91, 0, 0, 19, 65, 131, 5, 25102, 16856, 20071, 3, 0, 0, 322,-
52,r2,7, 1050154,r1,13, 1050154,r1,29, 1050154, 1082,"  100628:	e0833004 	add	r3, r3, r4",benign, 428, 198, 2867, 2, 1761, 1091, 1, 522, 720, 0, 248, 25251, 516, 3, 94, 3209, 1070, 402, 3, 15141, 7680, 8226, 0, 0, 33, 1859, 2039, 2904, 93, 0, 0, 19, 78, 127, 2, 25577, 17607, 20852, 1, 0, 0, 324,-
53,r2,29, 1049947,r0,16, 1049947,r3,8, 1049947, 1090,"  100558:	e35300ff 	cmp	r3, #255	; 0xff",benign, 434, 187, 986, 2, 651, 554, 1, 255, 453, 0, 243, 18604, 250, 3, 68, 3101, 1334, 411, 3, 11373, 7561, 4635, 0, 0, 34, 1023, 1202, 1256, 91, 0, 0, 19, 25, 119, 2, 19570, 10785, 13935, 1, 0, 0, 338,-
54,r2,3, 1050140,r2,9, 1050140,r0,26, 1050140, 1090,"  10061c:	e1540003 	cmp	r4, r3",benign, 334, 198, 2735, 4, 1676, 1072, 1, 511, 708, 0, 241, 22141, 506, 3, 93, 3158, 1062, 425, 3, 12659, 7209, 7910, 0, 0, 34, 1802, 1981, 2805, 92, 0, 0, 19, 75, 128, 5, 22784, 14537, 17795, 1, 0, 0, 317,-
55,r2,17, 1049907,r0,21, 1049907,r1,27, 1049907, 1083,"  100530:	e3403012 	movt	r3, #18",benign, 433, 198, 2870, 2, 1768, 1089, 1, 525, 723, 0, 246, 25080, 520, 3, 92, 3512, 1035, 433, 3, 15099, 7481, 8257, 0, 0, 33, 1863, 2031, 2910, 92, 0, 0, 19, 79, 119, 2, 25852, 17731, 20917, 1, 0, 0, 325,-
56,r3,15, 1049894,r3,3, 1049894,r1,24, 1049894, 1086,"  100524:	e50b3008 	str	r3, [fp, #-8]",benign, 446, 192, 1064, 1, 687, 565, 1, 255, 446, 0, 239, 20242, 242, 3, 67, 3212, 1066, 415, 3, 13718, 7699, 4710, 0, 0, 33, 1040, 1220, 1304, 92, 0, 0, 19, 68, 128, 2, 21205, 12991, 16225, 1, 0, 0, 338,-
57,r3,19, 1049994,r2,16, 1049994,r3,20, 1049994, 1093,"  100588:	e0812002 	add	r2, r1, r2",benign, 452, 210, 2889, 1, 1780, 1095, 1, 524, 722, 0, 243, 25301, 518, 3, 94, 3447, 1145, 411, 3, 15529, 7791, 8301, 0, 0, 33, 1892, 2070, 2939, 91, 0, 0, 19, 21, 118, 2, 25456, 17913, 21119, 1, 0, 0, 324,-
58,r2,14, 1050059,r0,0, 1050059,r3,15, 1050059, 1092,"  1005c8:	e3083438 	movw	r3, #33848	; 0x8438",benign, 429, 206, 2809, 2, 1720, 1082, 1, 516, 710, 0, 239, 24845, 506, 3, 93, 3200, 1063, 410, 3, 14619, 6959, 8033, 0, 0, 33, 1803, 2000, 2855, 91, 0, 0, 17, 63, 126, 2, 25639, 17242, 20442, 1, 0, 0, 316,-
59,r2,28, 1050124,r2,11, 1050124,r3,16, 1050124, 1090,"  10060c:	e50b0010 	str	r0, [fp, #-16]",benign, 332, 200, 2732, 4, 1675, 1074, 1, 511, 709, 0, 252, 22081, 506, 3, 91, 3237, 1113, 447, 3, 12693, 7252, 7918, 0, 0, 34, 1795, 1976, 2789, 92, 0, 0, 19, 75, 119, 5, 23034, 14638, 17883, 1, 0, 0, 328,-
61,r2,10, 1050129,r3,11, 1050129,r2,0, 1050129, 1085,"  100610:	ea000025 	b	1006ac <strsearch+0xc8>",benign, 430, 207, 2925, 1, 1808, 1103, 1, 529, 727, 0, 243, 24673, 523, 3, 96, 2975, 1374, 403, 3, 15324, 7756, 8395, 0, 0, 33, 1901, 2090, 2966, 91, 0, 0, 19, 78, 119, 2, 25853, 17577, 20832, 1, 0, 0, 325,-
62,r3,3, 1049902,r3,4, 1049902,r0,0, 1049902, 1089,"  10052c:	e3083434 	movw	r3, #33844	; 0x8434",benign, 440, 197, 2896, 2, 1792, 1095, 1, 529, 732, 0, 254, 25350, 529, 3, 91, 3542, 1053, 411, 3, 15339, 7665, 8340, 0, 0, 34, 1879, 2059, 2930, 91, 0, 0, 19, 23, 129, 2, 25945, 17724, 21199, 1, 0, 0, 329,-
64,r0,3, 1049910,r0,30, 1049910,r0,15, 1049910, 1085,"  100534:	e5931000 	ldr	r1, [r3]",benign, 347, 72, 2938, 2, 1844, 1103, 1, 529, 727, 0, 249, 25540, 523, 3, 93, 3311, 1253, 408, 3, 15059, 7577, 8394, 0, 0, 33, 1909, 2042, 2960, 92, 0, 0, 19, 65, 127, 2, 26186, 17270, 20485, 1, 0, 0, 316,-
66,r2,13, 1050093,r3,24, 1050093,r3,18, 1050093, 1091,"  1005ec:	e24dd010 	sub	sp, sp, #16",benign, 357, 75, 2929, 2, 1828, 1104, 1, 528, 725, 0, 249, 24875, 521, 3, 94, 3246, 1229, 413, 3, 15410, 7889, 8334, 0, 0, 33, 1887, 2079, 2953, 92, 0, 0, 19, 68, 119, 2, 25945, 17613, 20793, 1, 0, 0, 316,-
